SEM_EXM_EXCH_ID,SEM_SEGMENT,SEM_SMST_SECURITY_ID,SEM_INSTRUMENT_NAME,SEM_EXPIRY_CODE,SEM_TRADING_SYMBOL,SEM_LOT_UNITS,SEM_CUSTOM_SYMBOL,SEM_EXPIRY_DATE,SEM_STRIKE_PRICE,SEM_OPTION_TYPE,SEM_TICK_SIZE,SEM_EXPIRY_FLAG,SEM_EXCH_INSTRUMENT_TYPE,SEM_SERIES,SM_SYMBOL_NAME
BSE,I,844,INDEX,0,BS1000,1,BSE 1000,0001-01-01,,XX,0.05,,INDEX,X,BS1000
BSE,I,845,INDEX,0,BSESER,1,BSE Service Sector,0001-01-01,,XX,0.05,,INDEX,X,BSESER
BSE,I,846,INDEX,0,CAPINS,1,BSE Capital Goods Industrial Solutions,0001-01-01,,XX,0.05,,INDEX,X,CAPINS
BSE,I,847,INDEX,0,DOL100,1,BSE Dollex 100,0001-01-01,,XX,0.05,,INDEX,X,DOL100
BSE,I,848,INDEX,0,DOL200,1,BSE Dollex 200,0001-01-01,,XX,0.05,,INDEX,X,DOL200
BSE,I,849,INDEX,0,DOL30,1,BSE Dollex 30,0001-01-01,,XX,0.05,,INDEX,X,DOL30
BSE,I,850,INDEX,0,FOCIT,1,BSE Focused IT,0001-01-01,,XX,0.05,,INDEX,X,FOCIT
BSE,I,851,INDEX,0,FOCMID,1,BSE Focused Midcap,0001-01-01,,XX,0.05,,INDEX,X,FOCMID
BSE,I,852,INDEX,0,IND150,1,BSE India 150,0001-01-01,,XX,0.05,,INDEX,X,IND150
BSE,I,853,INDEX,0,INSLDR,1,BSE India Leaders,0001-01-01,,XX,0.05,,INDEX,X,INSLDR
BSE,I,854,INDEX,0,INTECO,1,BSE India Technology,0001-01-01,,XX,0.05,,INDEX,X,INTECO
BSE,I,855,INDEX,0,POWENE,1,BSE Power Energy,0001-01-01,,XX,0.05,,INDEX,X,POWENE
BSE,I,856,INDEX,0,PRECON,1,BSE Premium Consumption,0001-01-01,,XX,0.05,,INDEX,X,PRECON
BSE,I,857,INDEX,0,PSUBNK,1,BSE PSU Bank,0001-01-01,,XX,0.05,,INDEX,X,PSUBNK
BSE,I,858,INDEX,0,SELIPO,1,BSE Select IPO,0001-01-01,,XX,0.05,,INDEX,X,SELIPO
BSE,I,859,INDEX,0,SENEQW,1,BSE Sensex Equal Weight,0001-01-01,,XX,0.05,,INDEX,X,SENEQW
BSE,I,860,INDEX,0,SNSX60,1,BSE Sensex 60,0001-01-01,,XX,0.05,,INDEX,X,SNSX60
BSE,I,861,INDEX,0,SS6535,1,BSE Sensex Sixty 65:35,0001-01-01,,XX,0.05,,INDEX,X,SS6535
NSE,I,5024,INDEX,0,GIFTNIFTY,1,Gift Nifty,0001-01-01,,XX,0,,INDEX,X,GIFTNIFTY
